Nodes,CockhaiseToGrovelandsReservoir,ForestRowToWychCrossReservoir,WeirWoodToWychCrossReservoir,ArdinglyShellbrookToBalcombeReservoir,ArdinglyShellbrookToCuckfieldReservoir,ArdinglyShellbrookToButlersGreenReservoir,Barcombe1ToButlersGreenReservoir,Barcombe1ToStFrancisReservoir,Barcombe1ToUckfieldReservoir,Barcombe1ToPopeswoodReservoir,Barcombe2ToStFrancisReservoir,Barcombe2ToHorstedKeynesReservoir,GroombridgeToHourneFarmReservoir,CogginsMillToCottageHillReservoir,CogginsMillToBestBeechReservoir,SelsfieldReservoirToSelsfieldWaterTower,GrovelandsReservoirToSelsfieldReservoir,CuckfieldReservoirToWarninglidWaterTower,HorstedKeynesReservoirToGrovelandsReservoir,HorstedKeynesReservoirToBalcombeReservoir,HorstedKeynesReservoirToButlersGreenReservoir,HorstedKeynesReservoirToWychCrossReservoir,HorstedKeynesReservoirToAshdownReservoir,UckfieldReservoirToNutleyReservoir,PopeswoodReservoirToChilliesReservoir,PopeswoodReservoirToCottageHillReservoir,AshdownReservoirToCrowboroughReservoir,AshdownReservoirToCottageHillReservoir,AshdownReservoirToBestBeechReservoir,ChilliesReservoirToCrowboroughReservoir,ChilliesReservoirToCottageHillReservoir,ChilliesReservoirToBestBeechReservoir,CottageHillReservoirToBestBeechReservoir,HourneFarmReservoirToCrowboroughReservoir
Cockhaise,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForestRow,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WeirWood,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArdinglyShellbrook,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcombe1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcombe2,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groombridge,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CogginsMill,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SelsfieldReservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SelsfieldWaterTower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrovelandsReservoir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BalcombeReservoir,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WarninglidWaterTower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CuckfieldReservoir,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ButlersGreenReservoir,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
