Nodes,Cockhaise,ForestRow,WeirWood,ArdinglyShellbrook,Barcombe1,Barcombe2,Groombridge,CogginsMill,SelsfieldReservoir,GrovelandsReservoir,BalcombeReservoir,CuckfieldReservoir,ButlersGreenReservoir,StFrancisReservoir,HorstedKeynesReservoir,WychCrossReservoir,NutleyReservoir,UckfieldReservoir,PopeswoodReservoir,CrowboroughReservoir,AshdownReservoir,ChilliesReservoir,CottageHillReservoir,BestBeechReservoir,HourneFarmReservoir
Cockhaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForestRow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WeirWood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArdinglyShellbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcombe1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcombe2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groombridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CogginsMill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SelsfieldReservoir,0,0,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrovelandsReservoir,1|10,0,0,0,0,0,0,0,0,0,0,0,0,0,2|33,0,0,0,0,0,0,0,0,0,0
BalcombeReservoir,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0
CuckfieldReservoir,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0
ButlersGreenReservoir,0,0,0,1|10,1|10,0,0,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0
StFrancisReservoir,0,0,0,0,1|10,1|10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HorstedKeynesReservoir,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WychCrossReservoir,0,1|10,2|33,0,0,0,0,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0
NutleyReservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|33,0,0,1|10,0,0,0,0
UckfieldReservoir,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PopeswoodReservoir,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CrowboroughReservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|33,1|10,0,0,1|10
AshdownReservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0
ChilliesReservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0
CottageHillReservoir,0,0,0,0,0,0,0,2|33,0,0,0,0,0,0,0,0,0,0,2|33,0,1|10,1|10,0,0,0
BestBeechReservoir,0,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,0,0,1|10,2|33,1|10,0,0
HourneFarmReservoir,0,0,0,0,0,0,1|10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
