,Start Node,End Node,Epoch,Transfer Volume
0,CottageHillReservoir,BestBeechReservoir,8,0.05694803
1,CottageHillReservoir,BestBeechReservoir,20,0.05694803
2,CottageHillReservoir,BestBeechReservoir,55,0.05694803
3,CottageHillReservoir,BestBeechReservoir,26,0.05694803
4,CottageHillReservoir,BestBeechReservoir,50,0.05694803
5,CottageHillReservoir,BestBeechReservoir,52,0.05694803
6,CottageHillReservoir,BestBeechReservoir,51,0.05694803
7,CottageHillReservoir,BestBeechReservoir,27,0.05694803
8,CottageHillReservoir,BestBeechReservoir,60,0.05694803
9,CottageHillReservoir,BestBeechReservoir,48,0.05694803
10,CottageHillReservoir,BestBeechReservoir,70,0.05694803
11,CottageHillReservoir,BestBeechReservoir,7,0.05694803
12,CottageHillReservoir,BestBeechReservoir,23,0.05694803
13,CottageHillReservoir,BestBeechReservoir,49,0.05694803
14,CottageHillReservoir,BestBeechReservoir,59,0.05694803
15,CottageHillReservoir,BestBeechReservoir,3,0.05694803
16,CottageHillReservoir,BestBeechReservoir,40,0.05694803
17,CottageHillReservoir,BestBeechReservoir,67,0.05694803
18,CottageHillReservoir,BestBeechReservoir,54,0.05694803
19,CottageHillReservoir,BestBeechReservoir,29,0.05694803
20,CottageHillReservoir,BestBeechReservoir,9,0.05694803
21,CottageHillReservoir,BestBeechReservoir,35,0.05694803
22,CottageHillReservoir,BestBeechReservoir,43,0.05694803
23,CottageHillReservoir,BestBeechReservoir,47,0.05694803
24,CottageHillReservoir,BestBeechReservoir,10,0.05694803
25,CottageHillReservoir,BestBeechReservoir,1,0.05694803
26,CottageHillReservoir,BestBeechReservoir,21,0.05694803
27,CottageHillReservoir,BestBeechReservoir,17,0.05694803
28,CottageHillReservoir,BestBeechReservoir,30,0.05694803
29,CottageHillReservoir,BestBeechReservoir,12,0.05694803
30,CottageHillReservoir,BestBeechReservoir,36,0.05694803
31,CottageHillReservoir,BestBeechReservoir,46,0.05694803
32,CottageHillReservoir,BestBeechReservoir,61,0.05694803
33,CottageHillReservoir,BestBeechReservoir,62,0.05694803
34,CottageHillReservoir,BestBeechReservoir,5,0.05694803
35,CottageHillReservoir,BestBeechReservoir,34,0.05694803
36,CottageHillReservoir,BestBeechReservoir,19,0.05694803
37,CottageHillReservoir,BestBeechReservoir,42,0.05694803
38,CottageHillReservoir,BestBeechReservoir,22,0.05694803
39,CottageHillReservoir,BestBeechReservoir,37,0.05694803
40,CottageHillReservoir,BestBeechReservoir,25,0.05694803
41,CottageHillReservoir,BestBeechReservoir,2,0.05694803
42,CottageHillReservoir,BestBeechReservoir,24,0.05694803
43,CottageHillReservoir,BestBeechReservoir,4,0.05694803
44,CottageHillReservoir,BestBeechReservoir,53,0.05694803
45,CottageHillReservoir,BestBeechReservoir,32,0.05694803
46,CottageHillReservoir,BestBeechReservoir,72,0.05694803
47,CottageHillReservoir,BestBeechReservoir,63,0.05694803
48,CottageHillReservoir,BestBeechReservoir,33,0.05694803
49,CottageHillReservoir,BestBeechReservoir,45,0.05694803
50,CottageHillReservoir,BestBeechReservoir,68,0.05694803
51,CottageHillReservoir,BestBeechReservoir,13,0.05694803
52,CottageHillReservoir,BestBeechReservoir,71,0.05694803
53,CottageHillReservoir,BestBeechReservoir,14,0.05694803
54,CottageHillReservoir,BestBeechReservoir,39,0.05694803
55,CottageHillReservoir,BestBeechReservoir,69,0.05694803
56,CottageHillReservoir,BestBeechReservoir,16,0.05694803
57,CottageHillReservoir,BestBeechReservoir,38,0.05694803
58,CottageHillReservoir,BestBeechReservoir,41,0.05694803
59,CottageHillReservoir,BestBeechReservoir,58,0.05694803
60,CottageHillReservoir,BestBeechReservoir,18,0.05694803
61,CottageHillReservoir,BestBeechReservoir,57,0.05694803
62,CottageHillReservoir,BestBeechReservoir,64,0.05694803
63,CottageHillReservoir,BestBeechReservoir,31,0.05694803
64,CottageHillReservoir,BestBeechReservoir,44,0.05694803
65,CottageHillReservoir,BestBeechReservoir,11,0.05694803
66,CottageHillReservoir,BestBeechReservoir,65,0.05694803
67,CottageHillReservoir,BestBeechReservoir,6,0.05694803
68,CottageHillReservoir,BestBeechReservoir,56,0.05694803
69,CottageHillReservoir,BestBeechReservoir,28,0.05694803
70,CottageHillReservoir,BestBeechReservoir,66,0.05694803
71,CottageHillReservoir,BestBeechReservoir,15,0.05694803
72,PopeswoodReservoir,CottageHillReservoir,8,0.0
73,PopeswoodReservoir,CottageHillReservoir,20,0.0
74,PopeswoodReservoir,CottageHillReservoir,55,0.0
75,PopeswoodReservoir,CottageHillReservoir,26,0.0
76,PopeswoodReservoir,CottageHillReservoir,50,0.0
77,PopeswoodReservoir,CottageHillReservoir,52,0.0
78,PopeswoodReservoir,CottageHillReservoir,51,0.0
79,PopeswoodReservoir,CottageHillReservoir,27,0.0
80,PopeswoodReservoir,CottageHillReservoir,60,0.0
81,PopeswoodReservoir,CottageHillReservoir,48,0.0
82,PopeswoodReservoir,CottageHillReservoir,70,0.0
83,PopeswoodReservoir,CottageHillReservoir,7,0.0
84,PopeswoodReservoir,CottageHillReservoir,23,0.0
85,PopeswoodReservoir,CottageHillReservoir,49,0.0
86,PopeswoodReservoir,CottageHillReservoir,59,0.0
87,PopeswoodReservoir,CottageHillReservoir,3,0.0
88,PopeswoodReservoir,CottageHillReservoir,40,0.0
89,PopeswoodReservoir,CottageHillReservoir,67,0.0
90,PopeswoodReservoir,CottageHillReservoir,54,0.0
91,PopeswoodReservoir,CottageHillReservoir,29,0.0
92,PopeswoodReservoir,CottageHillReservoir,9,0.0
93,PopeswoodReservoir,CottageHillReservoir,35,0.0
94,PopeswoodReservoir,CottageHillReservoir,43,0.0
95,PopeswoodReservoir,CottageHillReservoir,47,0.0
96,PopeswoodReservoir,CottageHillReservoir,10,0.0
97,PopeswoodReservoir,CottageHillReservoir,1,0.0
98,PopeswoodReservoir,CottageHillReservoir,21,0.0
99,PopeswoodReservoir,CottageHillReservoir,17,0.0
100,PopeswoodReservoir,CottageHillReservoir,30,0.0
101,PopeswoodReservoir,CottageHillReservoir,12,0.0
102,PopeswoodReservoir,CottageHillReservoir,36,0.0
103,PopeswoodReservoir,CottageHillReservoir,46,0.0
104,PopeswoodReservoir,CottageHillReservoir,61,0.0
105,PopeswoodReservoir,CottageHillReservoir,62,0.0
106,PopeswoodReservoir,CottageHillReservoir,5,0.0
107,PopeswoodReservoir,CottageHillReservoir,34,0.0
108,PopeswoodReservoir,CottageHillReservoir,19,0.0
109,PopeswoodReservoir,CottageHillReservoir,42,0.0
110,PopeswoodReservoir,CottageHillReservoir,22,0.0
111,PopeswoodReservoir,CottageHillReservoir,37,0.0
112,PopeswoodReservoir,CottageHillReservoir,25,0.0
113,PopeswoodReservoir,CottageHillReservoir,2,0.0
114,PopeswoodReservoir,CottageHillReservoir,24,0.0
115,PopeswoodReservoir,CottageHillReservoir,4,0.0
116,PopeswoodReservoir,CottageHillReservoir,53,0.0
117,PopeswoodReservoir,CottageHillReservoir,32,0.0
118,PopeswoodReservoir,CottageHillReservoir,72,0.0
119,PopeswoodReservoir,CottageHillReservoir,63,0.0
120,PopeswoodReservoir,CottageHillReservoir,33,0.0
121,PopeswoodReservoir,CottageHillReservoir,45,0.0
122,PopeswoodReservoir,CottageHillReservoir,68,0.0
123,PopeswoodReservoir,CottageHillReservoir,13,0.0
124,PopeswoodReservoir,CottageHillReservoir,71,0.0
125,PopeswoodReservoir,CottageHillReservoir,14,0.0
126,PopeswoodReservoir,CottageHillReservoir,39,0.0
127,PopeswoodReservoir,CottageHillReservoir,69,0.0
128,PopeswoodReservoir,CottageHillReservoir,16,0.0
129,PopeswoodReservoir,CottageHillReservoir,38,0.0
130,PopeswoodReservoir,CottageHillReservoir,41,0.0
131,PopeswoodReservoir,CottageHillReservoir,58,0.0
132,PopeswoodReservoir,CottageHillReservoir,18,0.0
133,PopeswoodReservoir,CottageHillReservoir,57,0.0
134,PopeswoodReservoir,CottageHillReservoir,64,0.0
135,PopeswoodReservoir,CottageHillReservoir,31,0.0
136,PopeswoodReservoir,CottageHillReservoir,44,0.0
137,PopeswoodReservoir,CottageHillReservoir,11,0.0
138,PopeswoodReservoir,CottageHillReservoir,65,0.0
139,PopeswoodReservoir,CottageHillReservoir,6,0.0
140,PopeswoodReservoir,CottageHillReservoir,56,0.0
141,PopeswoodReservoir,CottageHillReservoir,28,0.0
142,PopeswoodReservoir,CottageHillReservoir,66,0.0
143,PopeswoodReservoir,CottageHillReservoir,15,0.0
144,Cockhaise,GrovelandsReservoir,8,0.0
