,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
AshdownReservoir,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293
BalcombeReservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BestBeechReservoir,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803
ButlersGreenReservoir,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996,0.34095414999999996
ChilliesReservoir,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069,0.080535069
CottageHillReservoir,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
CrowboroughReservoir,0.113385289,0.113385289,0.113385289,0.113385289,0.228585289,0.228585289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.228585289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.228585289,0.228585289,0.228585289,0.228585289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289,0.113385289
CuckfieldReservoir,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.265,0.265,0.265,0.265,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.265,0.265,0.265,0.265,0.265,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
GrovelandsReservoir,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HorstedKeynesReservoir,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,0.0,0.0,0.0,0.0,0.0,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667
