,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
AshdownReservoir,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289,0.239385289
BalcombeReservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BestBeechReservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ButlersGreenReservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChilliesReservoir,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
CottageHillReservoir,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803,0.05694803
CrowboroughReservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CuckfieldReservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GrovelandsReservoir,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HorstedKeynesReservoir,1.00320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.29320616,1.60320616,1.29320616,1.29320616,1.54320616,1.54320616,1.85320616,1.31320616,1.85320616,1.54320616,1.29320616,1.29320616,1.60320616,1.60320616,0.7532061600000001,0.7532061600000001,0.7532061600000001,0.7532061600000001,0.7532061600000001,1.00320616,1.00320616,1.00320616,1.00320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.54320616,1.85320616,1.85320616,1.85320616,1.54320616,1.00320616,1.00320616,1.54320616,1.00320616,1.00320616,1.54320616,1.54320616,1.54320616,1.00320616,1.54320616,1.54320616,1.54320616,1.00320616,1.00320616,1.00320616,1.31320616,1.31320616,1.85320616,1.85320616,1.60320616,1.29320616,1.29320616,1.29320616,1.29320616,1.29320616,1.29320616,1.29320616
HourneFarmReservoir,0.0,0.0,0.0,0.0,0.1152,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1152,0.1152,0.1152,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NutleyReservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
